"2016
rank","City","State[5]","2016
estimate","2010
Census","Change","2014 land area","2014 land area","2010 population density","2010 population density","Location"
255,"College Station","Texas","112,141","93,857","7001194806993617950<U+2660>+19.48%","49.6 sq mi","128.5 km2","1,978/sq mi","764/km2","30°36'05<U+2033>N 96°18'52<U+2033>W<U+FEFF> / <U+FEFF>30.6013°N 96.3144°W<U+FEFF> / 30.6013; -96.3144<U+FEFF> (College Station)"
256,"Elgin","Illinois","112,123","108,188","7000363718711871930<U+2660>+3.64%","37.2 sq mi","96.3 km2","2,911/sq mi","1,124/km2","42°02'23<U+2033>N 88°19'18<U+2033>W<U+FEFF> / <U+FEFF>42.0396°N 88.3217°W<U+FEFF> / 42.0396; -88.3217<U+FEFF> (Elgin)"
257,"Murrieta","California","111,674","103,466","7000793304080567530<U+2660>+7.93%","33.6 sq mi","87.0 km2","3,081/sq mi","1,190/km2","33°34'19<U+2033>N 117°11'27<U+2033>W<U+FEFF> / <U+FEFF>33.5719°N 117.1907°W<U+FEFF> / 33.5719; -117.1907<U+FEFF> (Murrieta)"
258,"Gresham","Oregon","111,523","105,594","7000561490236187659<U+2660>+5.61%","23.2 sq mi","60.1 km2","4,551/sq mi","1,757/km2","45°30'08<U+2033>N 122°26'30<U+2033>W<U+FEFF> / <U+FEFF>45.5023°N 122.4416°W<U+FEFF> / 45.5023; -122.4416<U+FEFF> (Gresham)"
259,"High Point","North Carolina","111,223","104,371","7000656504201358610<U+2660>+6.57%","53.8 sq mi","139.3 km2","1,940/sq mi","750/km2","35°59'08<U+2033>N 79°59'25<U+2033>W<U+FEFF> / <U+FEFF>35.9855°N 79.9902°W<U+FEFF> / 35.9855; -79.9902<U+FEFF> (High Point)"
260,"Antioch","California","110,898","102,372","7000832844918532410<U+2660>+8.33%","28.3 sq mi","73.3 km2","3,611/sq mi","1,394/km2","37°58'39<U+2033>N 121°47'51<U+2033>W<U+FEFF> / <U+FEFF>37.9775°N 121.7976°W<U+FEFF> / 37.9775; -121.7976<U+FEFF> (Antioch)"
261,"Inglewood","California","110,654","109,673","6999894477218640870<U+2660>+0.89%","9.1 sq mi","23.6 km2","12,095/sq mi","4,670/km2","33°57'22<U+2033>N 118°20'39<U+2033>W<U+FEFF> / <U+FEFF>33.9561°N 118.3443°W<U+FEFF> / 33.9561; -118.3443<U+FEFF> (Inglewood)"
262,"Cambridge","Massachusetts","110,651","105,162","7000521956600292880<U+2660>+5.22%","6.4 sq mi","16.6 km2","16,469/sq mi","6,359/km2","42°22'34<U+2033>N 71°07'06<U+2033>W<U+FEFF> / <U+FEFF>42.3760°N 71.1183°W<U+FEFF> / 42.3760; -71.1183<U+FEFF> (Cambridge)"
263,"Lowell","Massachusetts","110,558","106,519","7000379181178944600<U+2660>+3.79%","13.6 sq mi","35.2 km2","7,842/sq mi","3,028/km2","42°38'20<U+2033>N 71°19'20<U+2033>W<U+FEFF> / <U+FEFF>42.6389°N 71.3221°W<U+FEFF> / 42.6389; -71.3221<U+FEFF> (Lowell)"
264,"Manchester","New Hampshire","110,506","109,565","6999858850910418460<U+2660>+0.86%","33.1 sq mi","85.7 km2","3,310/sq mi","1,280/km2","42°59'05<U+2033>N 71°26'38<U+2033>W<U+FEFF> / <U+FEFF>42.9847°N 71.4439°W<U+FEFF> / 42.9847; -71.4439<U+FEFF> (Manchester)"
265,"Billings","Montana","110,323","104,170","7000590669098588850<U+2660>+5.91%","43.4 sq mi","112.4 km2","2,399/sq mi","926/km2","45°47'22<U+2033>N 108°33'00<U+2033>W<U+FEFF> / <U+FEFF>45.7895°N 108.5499°W<U+FEFF> / 45.7895; -108.5499<U+FEFF> (Billings)"
266,"Pueblo","Colorado","110,291","106,595","7000346732961208310<U+2660>+3.47%","53.6 sq mi","138.8 km2","1,987/sq mi","767/km2","38°16'23<U+2033>N 104°36'45<U+2033>W<U+FEFF> / <U+FEFF>38.2731°N 104.6124°W<U+FEFF> / 38.2731; -104.6124<U+FEFF> (Pueblo)"
267,"Palm Bay","Florida","110,104","103,190","7000670026165326100<U+2660>+6.70%","65.7 sq mi","170.2 km2","1,571/sq mi","607/km2","27°59'08<U+2033>N 80°39'45<U+2033>W<U+FEFF> / <U+FEFF>27.9856°N 80.6626°W<U+FEFF> / 27.9856; -80.6626<U+FEFF> (Palm Bay)"
268,"Centennial","Colorado","109,932","100,377","7000951911294420040<U+2660>+9.52%","28.7 sq mi","74.3 km2","3,495/sq mi","1,349/km2","39°35'26<U+2033>N 104°52'09<U+2033>W<U+FEFF> / <U+FEFF>39.5906°N 104.8691°W<U+FEFF> / 39.5906; -104.8691<U+FEFF> (Centennial)"
269,"Richmond","California","109,813","103,701","7000589386794727150<U+2660>+5.89%","30.1 sq mi","78.0 km2","3,449/sq mi","1,332/km2","37°57'11<U+2033>N 122°21'34<U+2033>W<U+FEFF> / <U+FEFF>37.9530°N 122.3594°W<U+FEFF> / 37.9530; -122.3594<U+FEFF> (Richmond)"
270,"Ventura[30]","California","109,592","106,433","7000296806441611150<U+2660>+2.97%","21.7 sq mi","56.2 km2","4,915/sq mi","1,898/km2","34°16'05<U+2033>N 119°15'18<U+2033>W<U+FEFF> / <U+FEFF>34.2681°N 119.2550°W<U+FEFF> / 34.2681; -119.2550<U+FEFF> (Ventura)"
271,"Pompano Beach","Florida","109,393","99,845","7000956282237468080<U+2660>+9.56%","24.0 sq mi","62.2 km2","4,160/sq mi","1,610/km2","26°14'33<U+2033>N 80°07'44<U+2033>W<U+FEFF> / <U+FEFF>26.2426°N 80.1290°W<U+FEFF> / 26.2426; -80.1290<U+FEFF> (Pompano Beach)"
272,"North Charleston","South Carolina","109,298","97,471","7001121338654574180<U+2660>+12.13%","76.6 sq mi","198.4 km2","1,393/sq mi","538/km2","32°53'07<U+2033>N 80°01'01<U+2033>W<U+FEFF> / <U+FEFF>32.8853°N 80.0169°W<U+FEFF> / 32.8853; -80.0169<U+FEFF> (North Charleston)"
273,"Everett","Washington","109,043","103,019","7000584746503072250<U+2660>+5.85%","33.4 sq mi","86.5 km2","3,080/sq mi","1,190/km2","48°00'12<U+2033>N 122°10'27<U+2033>W<U+FEFF> / <U+FEFF>48.0033°N 122.1742°W<U+FEFF> / 48.0033; -122.1742<U+FEFF> (Everett)"
274,"Waterbury","Connecticut","108,272","110,366","2999810267654893720<U+2660>-1.90%","28.5 sq mi","73.8 km2","3,870/sq mi","1,490/km2","41°33'31<U+2033>N 73°02'12<U+2033>W<U+FEFF> / <U+FEFF>41.5585°N 73.0367°W<U+FEFF> / 41.5585; -73.0367<U+FEFF> (Waterbury)"
275,"West Palm Beach","Florida","108,161","99,919","7000824868143195990<U+2660>+8.25%","55.3 sq mi","143.2 km2","1,807/sq mi","698/km2","26°44'54<U+2033>N 80°07'36<U+2033>W<U+FEFF> / <U+FEFF>26.7483°N 80.1266°W<U+FEFF> / 26.7483; -80.1266<U+FEFF> (West Palm Beach)"
276,"Boulder","Colorado","108,090","97,385","7001109924526364430<U+2660>+10.99%","25.7 sq mi","66.6 km2","3,947/sq mi","1,524/km2","40°01'03<U+2033>N 105°16'47<U+2033>W<U+FEFF> / <U+FEFF>40.0175°N 105.2797°W<U+FEFF> / 40.0175; -105.2797<U+FEFF> (Boulder)"
277,"West Covina","California","107,847","106,098","7000164847593734090<U+2660>+1.65%","16.0 sq mi","41.4 km2","6,614/sq mi","2,554/km2","34°03'21<U+2033>N 117°54'36<U+2033>W<U+FEFF> / <U+FEFF>34.0559°N 117.9099°W<U+FEFF> / 34.0559; -117.9099<U+FEFF> (West Covina)"
278,"Broken Arrow","Oklahoma","107,403","98,850","7000865250379362670<U+2660>+8.65%","61.6 sq mi","159.5 km2","1,605/sq mi","620/km2","36°02'11<U+2033>N 95°46'52<U+2033>W<U+FEFF> / <U+FEFF>36.0365°N 95.7810°W<U+FEFF> / 36.0365; -95.7810<U+FEFF> (Broken Arrow)"
279,"Clovis","California","106,583","95,631","7001114523533163930<U+2660>+11.45%","23.3 sq mi","60.3 km2","4,386/sq mi","1,693/km2","36°29'35<U+2033>N 119°25'16<U+2033>W<U+FEFF> / <U+FEFF>36.4931°N 119.4211°W<U+FEFF> / 36.4931; -119.4211<U+FEFF> (Clovis)"
280,"Daly City","California","106,472","101,123","7000528959781652050<U+2660>+5.29%","7.7 sq mi","19.9 km2","13,195/sq mi","5,095/km2","37°42'03<U+2033>N 122°27'54<U+2033>W<U+FEFF> / <U+FEFF>37.7009°N 122.4650°W<U+FEFF> / 37.7009; -122.4650<U+FEFF> (Daly City)"
281,"Lakeland","Florida","106,420","97,422","7000923610683418530<U+2660>+9.24%","74.4 sq mi","192.7 km2","1,711/sq mi","661/km2","28°02'28<U+2033>N 81°57'32<U+2033>W<U+FEFF> / <U+FEFF>28.0411°N 81.9589°W<U+FEFF> / 28.0411; -81.9589<U+FEFF> (Lakeland)"
282,"Santa Maria","California","106,290","99,553","7000676724960573760<U+2660>+6.77%","22.8 sq mi","59.1 km2","4,375/sq mi","1,689/km2","34°56'00<U+2033>N 120°26'38<U+2033>W<U+FEFF> / <U+FEFF>34.9332°N 120.4438°W<U+FEFF> / 34.9332; -120.4438<U+FEFF> (Santa Maria)"
283,"Norwalk","California","106,178","105,549","6999595931747340090<U+2660>+0.60%","9.7 sq mi","25.1 km2","10,873/sq mi","4,198/km2","33°54'25<U+2033>N 118°05'00<U+2033>W<U+FEFF> / <U+FEFF>33.9069°N 118.0834°W<U+FEFF> / 33.9069; -118.0834<U+FEFF> (Norwalk)"
284,"Sandy Springs","Georgia","105,703","93,853","7001126261280939340<U+2660>+12.63%","39.0 sq mi","101.0 km2","2,613.0/sq mi","1,008.9/km2","33°33'41<U+2033>N 84°13'37<U+2033>W<U+FEFF> / <U+FEFF>33.5615°N 84.227°W<U+FEFF> / 33.5615; -84.227<U+FEFF> (Sandy Springs)"
285,"Hillsboro","Oregon","105,164","91,611","7001147940749473320<U+2660>+14.79%","24.3 sq mi","62.9 km2","3,833/sq mi","1,480/km2","45°31'00<U+2033>N 122°59'00<U+2033>W<U+FEFF> / <U+FEFF>45.5167°N 122.9833°W<U+FEFF> / 45.5167; -122.9833<U+FEFF> (Hillsboro)"
286,"Green Bay","Wisconsin","105,139","104,057","7000103981471693400<U+2660>+1.04%","45.5 sq mi","117.8 km2","2,289/sq mi","884/km2","44°31'15<U+2033>N 87°59'03<U+2033>W<U+FEFF> / <U+FEFF>44.5207°N 87.9842°W<U+FEFF> / 44.5207; -87.9842<U+FEFF> (Green Bay)"
287,"Tyler","Texas","104,798","96,900","7000815067079463369<U+2660>+8.15%","54.4 sq mi","140.9 km2","1,782/sq mi","688/km2","32°21'N 95°18'W<U+FEFF> / <U+FEFF>32.35°N 95.30°W<U+FEFF> / 32.35; -95.30<U+FEFF> (Tyler)"
288,"Wichita Falls","Texas","104,724","104,553","6999163553413101480<U+2660>+0.16%","72.1 sq mi","186.7 km2","1,449/sq mi","559/km2","33°54'24<U+2033>N 98°31'33<U+2033>W<U+FEFF> / <U+FEFF>33.9067°N 98.5259°W<U+FEFF> / 33.9067; -98.5259<U+FEFF> (Wichita Falls)"
289,"Lewisville","Texas","104,659","95,290","7000983209151012700<U+2660>+9.83%","42.5 sq mi","110.1 km2","2,618/sq mi","1,011/km2","33°02'18<U+2033>N 97°00'22<U+2033>W<U+FEFF> / <U+FEFF>33.0383°N 97.0061°W<U+FEFF> / 33.0383; -97.0061<U+FEFF> (Lewisville)"
290,"Burbank","California","104,447","103,340","7000107122121153470<U+2660>+1.07%","17.3 sq mi","44.8 km2","5,959/sq mi","2,301/km2","34°11'20<U+2033>N 118°19'30<U+2033>W<U+FEFF> / <U+FEFF>34.1890°N 118.3249°W<U+FEFF> / 34.1890; -118.3249<U+FEFF> (Burbank)"
291,"Greeley","Colorado","103,990","92,889","7001119508230253310<U+2660>+11.95%","30.0 sq mi","77.7 km2","3,107/sq mi","1,200/km2","40°25'00<U+2033>N 104°43'00<U+2033>W<U+FEFF> / <U+FEFF>40.4167°N 104.7167°W<U+FEFF> / 40.4167; -104.7167<U+FEFF> (Greeley)"
292,"San Mateo","California","103,959","97,207","7000694600183114380<U+2660>+6.95%","15.9 sq mi","41.2 km2","8,014/sq mi","3,094/km2","37°33'15<U+2033>N 122°18'47<U+2033>W<U+FEFF> / <U+FEFF>37.5542°N 122.3131°W<U+FEFF> / 37.5542; -122.3131<U+FEFF> (San Mateo)"
293,"El Cajon","California","103,768","99,478","7000431251130903319<U+2660>+4.31%","14.4 sq mi","37.3 km2","6,892/sq mi","2,661/km2","32°48'06<U+2033>N 116°57'38<U+2033>W<U+FEFF> / <U+FEFF>32.8017°N 116.9605°W<U+FEFF> / 32.8017; -116.9605<U+FEFF> (El Cajon)"
294,"Jurupa Valley","California","103,541","0","0000000000000000000<U+2660>NA[31]","43.5 sq mi","112.7 km2","2,272/sq mi","877/km2","33°00'04<U+2033>N 117°28'14<U+2033>W<U+FEFF> / <U+FEFF>33.0011°N 117.4706°W<U+FEFF> / 33.0011; -117.4706<U+FEFF> (Jurupa Valley)"
295,"Rialto","California","103,314","99,171","7000417763257403879<U+2660>+4.18%","22.4 sq mi","58.0 km2","4,437/sq mi","1,713/km2","34°06'42<U+2033>N 117°23'18<U+2033>W<U+FEFF> / <U+FEFF>34.1118°N 117.3883°W<U+FEFF> / 34.1118; -117.3883<U+FEFF> (Rialto)"
296,"Davenport","Iowa","102,612","99,685","7000293624918493250<U+2660>+2.94%","62.9 sq mi","162.9 km2","1,584/sq mi","612/km2","41°33'15<U+2033>N 90°36'14<U+2033>W<U+FEFF> / <U+FEFF>41.5541°N 90.6040°W<U+FEFF> / 41.5541; -90.6040<U+FEFF> (Davenport)"
297,"League City","Texas","102,010","83,560","7001220799425562470<U+2660>+22.08%","53.0 sq mi","137.3 km2","1,924/sq mi","743/km2","29°29'59<U+2033>N 95°05'23<U+2033>W<U+FEFF> / <U+FEFF>29.4997°N 95.0897°W<U+FEFF> / 29.4997; -95.0897<U+FEFF> (League City)"
298,"Edison[32]","New Jersey","101,996","99,967","7000202966979103100<U+2660>+2.03%","30.6 sq mi","79.3 km2","3,339.0/sq mi","1,289.2/km2","40°30'14<U+2033>N 74°20'58<U+2033>W<U+FEFF> / <U+FEFF>40.5040°N 74.3494°W<U+FEFF> / 40.5040; -74.3494<U+FEFF> (Edison)"
299,"Davie[33]","Florida","101,871","91,992","7001107389773023740<U+2660>+10.74%","35.7 sq mi","92.5 km2","2,637/sq mi","1,018/km2","26°04'53<U+2033>N 80°16'49<U+2033>W<U+FEFF> / <U+FEFF>26.0814°N 80.2803°W<U+FEFF> / 26.0814; -80.2803<U+FEFF> (Davie)"
300,"Las Cruces","New Mexico","101,759","97,618","7000424204552439100<U+2660>+4.24%","76.3 sq mi","197.6 km2","1,279/sq mi","494/km2","32°19'11<U+2033>N 106°45'55<U+2033>W<U+FEFF> / <U+FEFF>32.3197°N 106.7653°W<U+FEFF> / 32.3197; -106.7653<U+FEFF> (Las Cruces)"
301,"South Bend","Indiana","101,735","101,168","6999560453898465929<U+2660>+0.56%","41.5 sq mi","107.5 km2","2,440/sq mi","940/km2","41°40'37<U+2033>N 86°16'08<U+2033>W<U+FEFF> / <U+FEFF>41.6769°N 86.2690°W<U+FEFF> / 41.6769; -86.2690<U+FEFF> (South Bend)"
302,"Vista","California","101,659","93,834","7000833919474817230<U+2660>+8.34%","18.7 sq mi","48.4 km2","5,000/sq mi","1,900/km2","33°11'37<U+2033>N 117°14'28<U+2033>W<U+FEFF> / <U+FEFF>33.1936°N 117.2411°W<U+FEFF> / 33.1936; -117.2411<U+FEFF> (Vista)"
303,"Woodbridge[32]","New Jersey","101,389","99,585","7000181151779886530<U+2660>+1.81%","24.5 sq mi","63.5 km2","4,290.0/sq mi","1,656.4/km2","40°33'39<U+2033>N 74°17'33<U+2033>W<U+FEFF> / <U+FEFF>40.5608°N 74.2926°W<U+FEFF> / 40.5608; -74.2926<U+FEFF> (Woodbridge)"
304,"Renton","Washington","100,953","90,927","7001110264277937250<U+2660>+11.03%","23.5 sq mi","60.9 km2","3,933/sq mi","1,519/km2","47°29'12<U+2033>N 122°11'43<U+2033>W<U+FEFF> / <U+FEFF>47.4867°N 122.1953°W<U+FEFF> / 47.4867; -122.1953<U+FEFF> (Renton)"
305,"Lakewood[32]","New Jersey","100,758","92,843","7000852514459894660<U+2660>+8.53%","25.0 sq mi","64.7 km2","4,030/sq mi","1,560/km2","40°04'37<U+2033>N 74°12'01<U+2033>W<U+FEFF> / <U+FEFF>40.0770°N 74.2004°W<U+FEFF> / 40.0770; -74.2004<U+FEFF> (Lakewood)"
306,"San Angelo","Texas","100,702","93,200","7000804935622317600<U+2660>+8.05%","58.2 sq mi","150.7 km2","1,640/sq mi","630/km2","31°27'N 100°27'W<U+FEFF> / <U+FEFF>31.45°N 100.45°W<U+FEFF> / 31.45; -100.45<U+FEFF> (San Angelo)"
307,"Clinton[34]","Michigan","100,392","96,796","7000371502954667550<U+2660>+3.72%","28.2 sq mi","73.0 km2","3,560/sq mi","1,370/km2","42°35'N 82°55'W<U+FEFF> / <U+FEFF>42.59°N 82.92°W<U+FEFF> / 42.59; -82.92<U+FEFF> (Clinton)"
